gene,weight
CXCR7,1
AK1,1
ACTB,1
MGP,1
HES1,1
TMEM14A,1
EGR1,1
VDR,1
C6orf64,1
NQO1,1
STOX2,1
ACYP2,1
SPRY4,1
DCTD,1
TACC2,1
PDLIM5,1
CRABP1,-1
MMP13,-1
MYOT,-1
DFNB31,-1
HPSE,-1
TEX11,-1
SYT17,-1
MUM1L1,-1
SLC25A30,-1
CSN3,-1
NMNAT3,-1
DENND2A,-1
CIRBP,-1
SPDYA,-1
S100A3,-1
PRTN3,-1
C20orf74,-1
HS3ST5,-1
