node,size,Q
298,105,
299,74,
300,89,
301,311,
302,362,
303,255,
304,251,
305,92,
306,186,
307,326,
308,295,
309,326,
310,338,
311,269,
312,416,
313,58,0.004147846161600799
314,100,0.00011618387292056109
315,53,
316,81,
317,133,
318,135,
319,135,
320,175,
321,178,
322,162,
323,114,
324,102,
325,195,
326,205,
327,46,
328,98,
329,48,
330,201,
331,164,
332,238,
333,79,
334,81,
335,62,
336,54,
337,129,
338,87,
339,170,
340,191,
341,194,
342,274,
343,277,
344,260,
345,227,
346,329,
347,35,
348,97,
349,270,
350,268,
351,273,
352,288,
353,271,
354,278,
355,228,
356,338,
357,222,
358,229,
359,255,
360,319,
361,263,
362,336,
363,243,
364,328,
365,294,
366,370,
367,370,
368,384,
369,90,
370,99,
371,366,
372,406,
373,363,
374,401,
375,234,
376,404,
377,101,0.0018471534612975737
378,100,0.006089277466846094
379,212,0.005930283290057431
380,251,0.004351372742890991
381,303,0.001105357845632593
382,306,0.00028540643460217563
383,759,0.0002221154122900998
384,563,0.0008801758032847273
385,220,0.003174811287545966
386,505,
387,429,
388,520,0.00023074919245832937
389,500,0.0007665413615118178
390,888,
391,816,
392,851,
393,12,
394,30,
395,48,
396,46,
397,33,
398,53,
399,62,
400,63,
401,64,
402,51,
403,54,
404,62,
405,106,
406,131,
407,35,
408,23,
409,39,
410,61,
411,53,
412,48,0.0020514163587687095
413,55,0.0008067540365773451
414,45,
415,93,
416,119,
417,108,
418,143,0.0011345950500269986
419,128,
420,175,
421,103,
422,203,
423,227,
424,532,
425,218,
426,345,
427,58,
428,162,
429,282,
430,238,
431,71,0.002235084246779817
432,429,
433,21,
434,27,
435,21,
436,34,
437,64,
438,79,
439,42,
440,29,
