node,size,Q
147,195,0.00046558917562447566
148,299,0.0012449034994530817
149,260,0.0005260507617872168
150,298,0.001645036397084243
151,376,0.0004894881187287592
152,449,0.001081610625806917
153,531,0.0005319853714094713
154,609,0.0004582637519052746
155,451,0.0007315022492302148
156,533,0.0009362411684351868
157,524,0.0003897972920674231
158,748,0.0002851933541197782
159,198,
160,246,
161,365,
162,483,
163,180,0.0005055450369593761
164,292,
165,414,4.62712759284889e-05
166,494,
167,331,0.0009559347971420107
168,483,0.0001743419085842024
169,657,0.00012896278981852638
170,767,0.00041301001234961277
171,558,0.00013718994012598684
172,559,
173,826,0.0002443838084837946
174,518,
175,228,0.003511212694660079
176,395,0.0007879666868083057
177,435,0.002682291313100965
178,562,0.002302200169695623
179,477,0.0010947588932516406
180,428,
181,1050,0.0009076575322176372
182,1593,0.00040983847099640425
183,284,0.0029561675375523733
184,342,0.0006656054736212114
185,227,0.004290368578497072
186,605,0.003057105898708168
187,765,0.005001697248881221
188,1393,0.0018840250103562828
189,1072,0.002621582327646005
190,2826,0.0006583454487971985
191,74,
192,80,
193,137,
194,253,
195,403,
196,413,
197,587,
198,615,
199,248,
200,491,
201,606,
202,799,
203,203,0.0006462640944449732
204,570,
205,577,
206,599,
207,346,
208,349,
209,422,
210,551,
211,287,
212,454,
213,461,
214,500,
215,147,0.0005143946485583056
216,376,0.0004648421967323735
217,486,
218,456,
219,402,
220,414,
221,466,
222,477,
223,496,
224,555,
225,505,
226,665,
227,278,0.0011194572405616582
228,792,
229,547,
230,915,
231,13,
232,92,
233,13,
234,77,
235,92,
236,105,
237,122,
238,119,
239,143,9.321384467847471e-05
240,145,
241,88,
242,111,
243,125,0.00047560846746691476
244,168,0.001997026507468469
245,148,0.000701448797111287
246,299,0.0017028771416526256
247,188,
248,165,
249,183,0.000340434310549087
250,240,
251,159,
252,191,
253,211,
254,191,
255,84,
256,111,
257,131,
258,168,
259,116,
260,144,
261,126,
262,172,
263,182,
264,194,
265,196,
266,253,
267,223,
268,308,
269,272,
270,337,
271,239,
272,212,
273,221,
274,312,
275,242,
276,282,
277,366,
278,382,
279,50,
280,130,
281,177,
282,237,
283,148,
284,183,
285,214,
286,269,
287,282,
288,375,
289,340,
290,427,
291,287,
292,271,
293,464,
294,362,
295,66,0.0031577935768431487
296,162,
297,164,
298,231,
299,187,0.002113635811470338
300,248,0.0019032409144732754
301,260,0.0018968881078654798
302,302,0.0010797875256059464
303,231,0.0004366797813840362
304,246,
305,514,8.424252122346543e-05
306,536,
307,672,0.000311067819513261
308,921,
309,113,
310,171,3.3533667637197784e-05
311,155,
312,187,
313,130,0.001224834309822398
314,97,
315,215,0.0005916793365097206
316,390,
317,357,0.005725297713038369
318,408,0.006235165477292248
319,466,0.002912911106501548
320,927,0.0010525372106179043
321,613,0.0015916655245154232
322,459,0.000959110234296956
323,1395,0.00021558661745862961
324,1431,0.00022823107731378967
325,67,
326,136,
327,44,
328,103,
329,137,
330,239,
331,77,
332,201,
333,54,
334,89,
335,63,
336,62,
337,77,
338,91,
339,62,
340,86,
341,143,
342,156,0.0006982413067772308
343,82,
344,101,
345,32,
346,34,
347,73,
348,114,
349,112,
350,136,
351,133,
352,127,
353,141,
354,161,
355,101,
356,130,
357,256,
358,258,
359,270,
360,402,
361,87,
362,84,
363,69,
364,61,
365,108,3.556233848552026e-05
366,107,
367,161,0.0003771198107655471
368,196,0.005232287738059907
369,177,0.003425677839777236
370,231,
371,242,0.0005061704304919756
372,224,
373,449,0.00025808758545059485
374,478,8.681030357157726e-05
375,285,
376,328,
377,223,
378,236,
379,663,
380,732,5.100134629998365e-05
381,680,
382,751,
383,70,
384,86,
385,37,
386,71,
387,78,
388,83,
389,70,
390,126,
391,90,
392,87,
393,124,
394,118,
395,213,
396,236,
397,245,
398,233,
399,334,
400,398,
